POS;MONTH;DATE;POS_CAT;POS_CHANNEL;POS_GROUP;LAST_TR_DATE;POS_STATUS;CASH_IN_OUT_STATUS;SITE;LOCALITE;MILIEU;ZONE;DACR;BALANCE;LONGITUDE;LATITUDE;LOCALISATION;SECTEUR;LAST_VISITE_DATE;VISITE;COMMISSIONS_AMNT;IMPACT_VISITE;COMMISSION_PERF;COMMISSION_PERF_2
LTyHnRHf;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-23;Actif;Actif;ZINDER UNIV;ZINDER;Urbain;Centre;Zinder;1543.2;8.98863;13.84394;Système;Zinder 3;1970-01-01;Jamais;1034;Jamais visité;Oui;Medium
cv8mAaHc;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-07-21;Inactif récent;Inactif récent;LAZARET NORD FAISCEAU;NIAMEY;Urbain;Nord;Niamey;98.25;2.12033649;13.56213667;Système;Nord 1;1970-01-01;Jamais;0;Jamais visité;Non;Zero
i9X18dFX;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-06-29;Inactif récent;Inactif récent;DOSSO_SAMARIA_OUDOUN_KOUKOU;DOSSO;Urbain;Centre;Dosso;69.0;3.1949383333333303;13.050989999999999;Visites;Dosso 2;2020-07-29;Non;0;Non visité;Non;Zero
csVfwxjJ;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-17;Actif;Actif;AÉROPORT CHÂTEAU;NIAMEY;Urbain;Wadata;Niamey;148.5;2.19799833333333;13.459898333333301;Visites;Wadata 5;2020-08-20;Oui;1195;A maintenu son statut;Oui;Medium
ENgOVwmr;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-23;Actif;Actif;BOBIEL_AIRTEL;NIAMEY;Urbain;Nord;Niamey;4517.0;2.09247833333333;13.564528333333302;Visites;Nord 3;2020-08-22;Oui;1087;A maintenu son statut;Oui;Medium
iP2ZJMsj;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-17;Actif;Actif;BANQUE ATLANTIQUE;NIAMEY;Urbain;Grand Marché;Niamey;37921.0;2.11525049;13.51793354;Système;Grand Marché 4;1970-01-01;Jamais;10800;Jamais visité;Oui;High
EhZJjUva;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-21;Actif;Actif;CITÉ_DÉPUTÉ;NIAMEY;Urbain;Nord;Niamey;49.11;2.12728333333333;13.58075;Visites;Nord 1;2020-08-19;Oui;30;A maintenu son statut;Non;Low
5M2e3ePt;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-21;Actif;Actif;EGLISE GARBADO;NIAMEY;Urbain;Wadata;Niamey;7016.65;2.14565235;13.52003723;Système;Wadata 4;1970-01-01;Jamais;482;Jamais visité;Non;Low
WOiLhQ1w;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;MOUSSADEY BERI;MOUSSADEY BERI;Rural;Centre;Dosso;134444.25;3.1846;13.3937;Système;Loga;1970-01-01;Jamais;146150;Jamais visité;Oui;Super High
L9XyueLy;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-10;Actif;Actif;SAGA_ECOLE;NIAMEY;Urbain;Haro Banda;Niamey;648.8;2.13862;13.474295000000001;Visites;Haro Banda 1;2020-07-16;Non;20;Non visité;Non;Low
zlP38f2v;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-23;Actif;Actif;CENTRE_AERE_BCEAO;NIAMEY;Urbain;Nord;Niamey;39160.15;2.071495;13.568351666666699;Visites;Nord 2;2020-08-10;Oui;965;A maintenu son statut;Non;Low
2lRvtFp9;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-07-27;Futur inactif;Futur inactif;TCHANGAREY;NIAMEY;Urbain;Nord;Niamey;37.5;2.09222666666667;13.578198333333301;Visites;Nord 2;2020-07-27;Non;0;Non visité;Non;Zero
ziiWkyla;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;ARENE DE LUTTE;NIAMEY;Urbain;Wadata;Niamey;172799.64;2.14013833333333;13.525836666666699;Visites;Wadata 4;2020-08-12;Oui;52234;A maintenu son statut;Oui;Super High
q2kWlKVk;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;SONUCI CHATEAU 1;NIAMEY;Urbain;Petit Marché;Niamey;12598.76;2.0991666666666697;13.524356666666698;Visites;Petit Marché 4;2020-08-13;Oui;45821;A maintenu son statut;Oui;High
XA3SXguw;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-11;Actif;Actif;BALEYARA;BALEYARA;Rural;Est;Tillaberi;45.0;2.94628666666667;13.781571666666698;Visites;Baleyara;2020-08-22;Oui;13;A maintenu son statut;Non;Low
fzTKCDAn;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-07-08;Inactif récent;Inactif récent;ARENE DE LUTTE;NIAMEY;Urbain;Wadata;Niamey;26.0;2.14080371;13.52191935;Système;Wadata 4;1970-01-01;Jamais;0;Jamais visité;Non;Zero
Y9HQOGaR;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-13;Actif;Actif;CAMPING KOIRA KANO;NIAMEY;Urbain;Petit Marché;Niamey;294.75;2.07738889;13.53258334;Système;Petit Marché 5;1970-01-01;Jamais;12250;Jamais visité;Oui;High
iKlVkv5p;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-05-02;Inactif âgé;Inactif âgé;BANIFANDOU COCORBADO2;NIAMEY;Urbain;Grand Marché;Niamey;174.5;2.14146166666667;13.542179999999998;Visites;Grand Marché 2;2020-08-12;Oui;0;N'a pas réagi;Non;Zero
ipcUa44M;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-07-18;Inactif récent;Inactif récent;TERA;TERA;Urbain;Ouest;Tillaberi;40884.5;0.75998541;14.00450028;Système;Téra;1970-01-01;Jamais;0;Jamais visité;Non;Zero
vB7yvRVg;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;ECOLE CHEIK HAMDAN;TAHOUA;Urbain;Centre;Tahoua;45506.19;5.287222;14.886167000000002;Système;Tahoua 3;1970-01-01;Jamais;8041;Jamais visité;Oui;Medium
BOUe5THe;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;CITE CAISSE;NIAMEY;Urbain;Nord;Niamey;83313.9;2.12644666666667;13.541678333333302;Visites;Nord 4;2020-08-20;Oui;9590;A maintenu son statut;Oui;Medium
