"SITE";"LOCALITE";"MILIEU";"SECTEUR";"ZONE";"DACR";"LONGITUDE";"LATITUDE"
"CHIRFA BTS MOBILE";"CHIRFA";"Rural";"Dirkou";"Centre";"Agadez";12.319933;20.922028
"DIRKOU";"DIRKOU";"Rural";"Dirkou";"Centre";"Agadez";12.89130556;18.98980556
"DJADO _MARCHÉ";"DJADO MINE D'OR";"Rural";"Dirkou";"Centre";"Agadez";11.82114;21.38686
"SIGUIDIM";"SIGUIDIM";"Rural";"Dirkou";"Centre";"Agadez";12.96120833;20.18734722
"BILMA";"BILMA";"Urbain";"Dirkou";"Centre";"Agadez";12.91630556;18.68933333
"ABARDAKE";"ABARDAKE";"Rural";"Tabelote";"Centre";"Agadez";8.747;17.616
"AMZIGUER";"AMZIGUER";"Rural";"Tabelote";"Centre";"Agadez";9.54564;17.45772
"AOUDARAS";"AOUDARAS";"Rural";"Tabelote";"Centre";"Agadez";8.41271;17.63098
"DABAGA";"DABAGA";"Rural";"Tabelote";"Centre";"Agadez";8.137619;17.311239
"TABELOTE";"TABELOTE";"Rural";"Tabelote";"Centre";"Agadez";8.93838889;17.60383333
"TEFARAOUTE";"TEFARAOUTE";"Rural";"Tabelote";"Centre";"Agadez";8.00125;18.010647222222
"TIMIA";"TIMIA";"Rural";"Tabelote";"Centre";"Agadez";8.829583333;18.193
"GOUGARAMA";"GOUGARAMA";"Rural";"Arlit 1";"Nord";"Agadez";7.80564723;18.45047778
"IFEROUANE";"IFEROUANE";"Rural";"Arlit 1";"Nord";"Agadez";8.4225;19.064431
"RTA";"RTA";"Rural";"Arlit 1";"Nord";"Agadez";7.53004731;18.08268583
"ARLIT-SOMAIR";"ARLIT";"Urbain";"Arlit 1";"Nord";"Agadez";7.39009139;18.73877656
"ARLIT SOMAIR KARÉ";"ARLIT";"Urbain";"Arlit 1";"Nord";"Agadez";7.40022222;18.74052778
"ARLIT_SOMAIR_DENSIF";"ARLIT";"Urbain";"Arlit 1";"Nord";"Agadez";7.3918583333333;18.747536111111
"ASSAMAKA";"ASSAMAKA";"Rural";"Arlit 2";"Nord";"Agadez";5.771158333;19.33405
"PK40_TCHIBARKATEN";"PK40_TCHIBARKATEN";"Rural";"Arlit 2";"Nord";"Agadez";8.75171;21.55657
"TCHIBARKATEN_2";"TCHIBARKTEN";"Rural";"Arlit 2";"Nord";"Agadez";9.05776113;21.74946476
"TCHIBARKTEN";"TCHIBARKTEN";"Rural";"Arlit 2";"Nord";"Agadez";9.04039;21.75351
"ARLIT AKOKAN";"ARLIT";"Urbain";"Arlit 2";"Nord";"Agadez";7.3404227;18.71143357
"ARLIT AKOKAN TCHETCHENI";"ARLIT";"Urbain";"Arlit 2";"Nord";"Agadez";7.33393334;18.71024723
"ARLIT BOUKOKI 1";"ARLIT";"Urbain";"Arlit 2";"Nord";"Agadez";7.38917778;18.72693612
"ARLIT HQ_AIRTEL";"ARLIT";"Urbain";"Arlit 2";"Nord";"Agadez";7.3841;18.7369
"COMINAK ZI";"ARLIT";"Urbain";"Arlit 2";"Nord";"Agadez";7.30722223;18.67894445
"SOMAIR LIXI";"ARLIT";"Urbain";"Arlit 2";"Nord";"Agadez";7.34494445;18.77994445
"SOMAIR TAMGAK";"ARLIT";"Urbain";"Arlit 2";"Nord";"Agadez";7.30527778;18.73944445
"SOMAIR TAZA";"ARLIT";"Urbain";"Arlit 2";"Nord";"Agadez";7.31705556;18.74622223
"ANIOKKAN";"ANIOKKAN";"Rural";"Ingall";"Sud";"Agadez";6.93601;16.98873
"ABALAMA";"ABALAMA";"Rural";"Agadez 1";"Sud";"Agadez";7.843938889;16.26826944
"ADERBISSINAT";"ADERBISSINAT";"Rural";"Agadez 1";"Sud";"Agadez";7.90103126;15.61641668
"TEGUIRWITE";"TEGUIRWITE";"Rural";"Agadez 1";"Sud";"Agadez";7.45438334;16.72645278
"AGADEZ  DOUANE";"AGADEZ";"Urbain";"Agadez 1";"Sud";"Agadez";7.9655;16.947167
"AGADEZ DAGAMANET";"AGADEZ";"Urbain";"Agadez 1";"Sud";"Agadez";7.973667;16.9585
"AGADEZ_DAGAMANET_2";"AGADEZ";"Urbain";"Agadez 1";"Sud";"Agadez";7.9688;16.9649
"AGADEZ_MISRATA";"AGADEZ";"Urbain";"Agadez 1";"Sud";"Agadez";7.97886;16.94902
"ATTRI";"ATTRI";"Rural";"Agadez 2";"Sud";"Agadez";8.26248889;17.03578056
"TENDAYEN MACRO";"TENDAYEN";"Rural";"Agadez 2";"Sud";"Agadez";8.49387306;16.9837925
"AGADEZ EMAIR AIRTEL";"AGADEZ";"Urbain";"Agadez 2";"Sud";"Agadez";8.00477778;16.97302778
"AGADEZ SABON GARI";"AGADEZ";"Urbain";"Agadez 2";"Sud";"Agadez";8.011167;16.977667
"AGADEZ 2 MOOV";"AGADEZ";"Urbain";"Agadez 3";"Sud";"Agadez";7.973333;16.9695
"AGADEZ HILIN SARKI";"AGADEZ";"Urbain";"Agadez 3";"Sud";"Agadez";7.981;16.971333
"AGADEZ_RIMBO AIRTEL";"AGADEZ";"Urbain";"Agadez 3";"Sud";"Agadez";7.9815;16.9759
"AGADEZ ELEVAGE";"AGADEZ";"Urbain";"Agadez 4";"Sud";"Agadez";7.985333;16.9785
"AGADEZ JEUNE CADRE";"AGADEZ";"Urbain";"Agadez 4";"Sud";"Agadez";7.998833;16.987
"TCHIROZERINE";"TCHIROZERINE";"Urbain";"Agadez 4";"Sud";"Agadez";7.83322208;17.26652965
"AZEL";"AZEL";"Rural";"Agadez 5";"Sud";"Agadez";8.05725;17.078717
"AGADEZ MARCHE LEGUMES";"AGADEZ";"Urbain";"Agadez 5";"Sud";"Agadez";8.001;16.9775
"AGADEZ MOOV OLD VILLE";"AGADEZ";"Urbain";"Agadez 5";"Sud";"Agadez";7.988167;16.971167
"AGADEZ_LI";"AGADEZ";"Urbain";"Agadez 5";"Sud";"Agadez";7.9794;16.9659
"AGHOR";"AGHOR";"Rural";"Ingall";"Sud";"Agadez";6.40166667;16.6388889
"AMATALTAL";"AMATALTAL";"Rural";"Ingall";"Sud";"Agadez";7.16730136;16.2093372
"CENTRE BAZENE";"BAZEN";"Rural";"Ingall";"Sud";"Agadez";6.5216;16.89359
"INGALL";"INGALL";"Rural";"Ingall";"Sud";"Agadez";6.93444064;16.78900142
"INJITAN MACRO";"INJITAN";"Rural";"Ingall";"Sud";"Agadez";7.248353;17.17597
"MARARABA_INGAL";"MARARABA INGALL";"Rural";"Ingall";"Sud";"Agadez";7.32;16.450001
"TAGDOUMTE";"TAGDOUMTE";"Rural";"Ingall";"Sud";"Agadez";6.70394;16.52217
"BOSSO";"BOSSO";"Rural";"Diffa 1";"Est";"Diffa";13.30889269;13.70335657
"CHETIMARI";"CHETIMARI";"Rural";"Diffa 1";"Est";"Diffa";12.42270459;13.1870997
"KABALEWA";"KABALEWA";"Rural";"Diffa 1";"Est";"Diffa";12.97783333;13.97763889
"N'GOURTI";"N'GOURTI";"Rural";"Diffa 1";"Est";"Diffa";13.20000335;15.29999811
"DIFFA_18_DECEMBRE";"DIFFA";"Urbain";"Diffa 1";"Est";"Diffa";12.590212;13.310959
"DIFFA_JEUNE_CADRE";"DIFFA";"Urbain";"Diffa 1";"Est";"Diffa";12.60645;13.31052
