"POS_CAT";"POS_GROUP";"POS_CHANNEL"
"Retailer";"PDV";"Indirect"
"Orange Shop";"Orange";"ONE"
"Distributor";"PDV";"Indirect"
"Head Merchant";"PDV";"Others"
"ONIRESTO";"PDV";"Others"
"IRT Category";"PDV";"Others"
"HWORABANK";"Orabank";"Structured"
"TOTALPDV";"Total";"Structured"
"Orange Shop Agent";"Orange";"ONE"
"INDRETAILER";"PDV";"Indirect"
"Retailer";"Salim";"Indirect"
"Merchant";"PDV";"-"
"HWECOBK";"Ecobank";"Structured"
"Half Wholesaler";"PDV";"Indirect"
"Half Wholesaler";"Orange";"ONE"
"Retailer";"Orange";"ONE"
"HWSACEP";"Acep";"Structured"
"CFINAPDV";"PDV";"Structured"
