"POS";"MONTH";"DATE";"POS_CAT";"POS_CHANNEL";"POS_GROUP";"LAST_TR_DATE";"POS_STATUS";"INACTIVITY_DAYS";"LAST_CI_DATE";"LAST_CO_DATE";"CASH_IN_OUT_STATUS";"CASH_IN_CNT";"CASH_IN_AMNT";"CASH_OUT_CNT";"CASH_OUT_AMNT";"BALANCE";"LAST_VISITE_DATE";"LONGITUDE";"LATITUDE";"SITE";"LOCALISATION";"LOCALITE";"MILIEU";"SECTEUR";"ZONE";"DACR";"VISITE";"COMMISSIONS_AMNT";"IMPACT_VISITE";"COMMISSION_PERF"
"LTyHnRHf";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-30;"Actif";1;2020-07-25;2020-07-30;"Actif";0;0;0;0;10258.2;1970-01-01;8.98863;13.84394;"ZINDER UNIV";"Système";"ZINDER";"Urbain";"Zinder 3";"Centre";"Zinder";"Jamais";8041;"Jamais visité";"Oui"
"LTyHnRHf";2020-08-01;2020-08-24;"Retailer";"Indirect";"PDV";2020-08-23;"Actif";1;2020-08-23;2020-08-21;"Actif";0;0;0;0;1543.2;1970-01-01;8.98863;13.84394;"ZINDER UNIV";"Système";"ZINDER";"Urbain";"Zinder 3";"Centre";"Zinder";"Jamais";1034;"Jamais visité";"Oui"
"cv8mAaHc";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-21;"Actif";10;2020-07-21;1970-01-01;"Actif";0;0;0;0;98.25;1970-01-01;2.12033649;13.56213667;"LAZARET NORD FAISCEAU";"Système";"NIAMEY";"Urbain";"Nord 1";"Nord";"Niamey";"Jamais";505;"Jamais visité";"Non"
"cv8mAaHc";2020-08-01;2020-08-24;"Retailer";"Indirect";"PDV";2020-07-21;"Inactif récent";34;2020-07-21;1970-01-01;"Inactif récent";0;0;0;0;98.25;1970-01-01;2.12033649;13.56213667;"LAZARET NORD FAISCEAU";"Système";"NIAMEY";"Urbain";"Nord 1";"Nord";"Niamey";"Jamais";0;"Jamais visité";"Non"
"i9X18dFX";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-06-29;"Inactif récent";32;2020-06-29;2020-06-29;"Inactif récent";0;0;0;0;69;2020-07-29;3.19493833333333;13.05099;"DOSSO_SAMARIA_OUDOUN_KOUKOU";"Visites";"DOSSO";"Urbain";"Dosso 2";"Centre";"Dosso";"Oui";0;"N'a pas réagi";"Non"
"i9X18dFX";2020-08-01;2020-08-24;"Retailer";"Indirect";"PDV";2020-06-29;"Inactif récent";56;2020-06-29;2020-06-29;"Inactif récent";0;0;0;0;69;2020-07-29;3.19493833333333;13.05099;"DOSSO_SAMARIA_OUDOUN_KOUKOU";"Visites";"DOSSO";"Urbain";"Dosso 2";"Centre";"Dosso";"Non";0;"Non visité";"Non"
"csVfwxjJ";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-30;"Actif";1;2020-07-30;1970-01-01;"Actif";0;0;0;0;11404;1970-01-01;2.2045;13.45711;"AÉROPORT CHÂTEAU";"Système";"NIAMEY";"Urbain";"Wadata 5";"Wadata";"Niamey";"Jamais";415;"Jamais visité";"Non"
"csVfwxjJ";2020-08-01;2020-08-24;"Retailer";"Indirect";"PDV";2020-08-17;"Actif";7;2020-08-17;2020-08-11;"Actif";0;0;0;0;148.5;2020-08-20;2.19799833333333;13.4598983333333;"AÉROPORT CHÂTEAU";"Visites";"NIAMEY";"Urbain";"Wadata 5";"Wadata";"Niamey";"Oui";1195;"A maintenu son statut";"Oui"
"ENgOVwmr";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-30;"Actif";1;2020-07-29;2020-07-30;"Actif";0;0;0;0;20130;2020-07-30;2.09642833333333;13.5649066666667;"BOBIEL_AIRTEL";"Visites";"NIAMEY";"Urbain";"Nord 3";"Nord";"Niamey";"Oui";593;"A maintenu son statut";"Non"
"ENgOVwmr";2020-08-01;2020-08-24;"Retailer";"Indirect";"PDV";2020-08-23;"Actif";1;2020-08-23;2020-08-20;"Actif";0;0;0;0;4517;2020-08-22;2.09247833333333;13.5645283333333;"BOBIEL_AIRTEL";"Visites";"NIAMEY";"Urbain";"Nord 3";"Nord";"Niamey";"Oui";1087;"A maintenu son statut";"Oui"
